PlantCode,Biom/flwr,PlantName,LifeForm,LifeForm_Sneha,FlowerForm,FlowerForm_Sneha,FunctExclusion,ExclusionFeeble,ExclusionTubeClass,ExclusionTubePlantCode,generalShapeExclusion,SpecialistPollinators,SpecialistVectorsTBE,ExclusionClosed,ExclusionVisibility,EXVisible_Sneha,ExclusionPendant,ExclusionDiel,EXDiel_Sneha,ExclusionHandling,EXHandle_Sneha,ExclusionPlatform,ExclusionEtc,EdaphicCommunity,Compatibility,ImmigrationTraits
RUDBOCCI,27.72,Rudbeckia occidentalis,herbaceous perennial,P,"exclusion(tube, color)",exclusion,include only long-tongued and Bombus,strong,tube-tub-3,10,poor exclusion,none,,open access,dark,notbright,erect,diurnal only,nonight,average,okay,weak,none,talus,self-incompatible,standard
GALIOREG,0.015246,Galium oreganum,herbaceous perennial,P,exclusion (tiny),exclusion,exclude none,feeble,tube-thin-1,10,poor exclusion,none,,open access,pale green,notbright,erect,diurnal only,nonight,average,okay,not useful,none,talus,NA,standard
DODEALPI,1.68,Dodecatheon alpinum,bulb,A,"exclusion (pendant, color)",exclusion,include Bombus,strong,tube-thin-5,10,poor exclusion,none,,open access,red/dark,notbright,suspended,diurnal only,nonight,average,okay,not useful,none,talus,NA,standard
PENSPROC,5.90625,Penstemon procerus,herbaceous perennial,P,tubular (but thick) & exclusion (color),exclusion,"include only HBB, Bombus",strong,tube-thin-5,10,poor exclusion,Penstemon small,Osmia,open access,red/dark,notbright,erect,diurnal only,nonight,average,okay,not useful,nototribic,forest ecotone,self-incompatible,standard
AGOSHTRP,26.6616,Agoseris heterophylla,taprooted perennial,P,exclusion+,exclusion,exclude none,strong,tube-thin-5,10,poor exclusion,none,,open access,bright,bright,erect,morning only,nonight,average,okay,not useful,none,deep soil,self-incompatible,wind
SYMPMOLL,0.1134,Symphoricarpos mollis,shrub,P,exclusion (pendant),exclusion,"include Bombus, Bombylius, some bees)",strong,tube-thin-5,10,poor exclusion,Symphoricarpos,"Dufourea,Euphydryas+N90+N115",open access,bright,bright,suspended,nocturnal also,yesnight,average,okay,not useful,none,deep soil,self-incompatible,fruit
CHRYLEUC,49.9,Chrysanthemum leucanthemum,herbaceous perennial,P,exclusion (tube),exclusion,include only long-tongued,strong,tube-thin-2,10,poor exclusion,none,,open access,bright,bright,erect,nocturnal also,yesnight,average,okay,platform,none,deep soil,self-compatible,wind
SENETRIA,479.115,Senecio triangularis,herbaceous perennial,P,"exclusion (tubular, nocturnal+)",exclusion,include only long-tongued and Bombus,strong,tube-thin-5,10,poor exclusion,fall composites,Comp,open access,bright,bright,erect,nocturnal also,yesnight,average,okay,platform,none,talus,self-incompatible,wind
ERIGFOLI,17.71875,Erigeron foliosus,herbaceous perennial,P,exclusion+,exclusion,exclude none,strong,tube-thin-2.5,10,poor exclusion,fall composites,Comp,open access,bright,bright,erect,nocturnal also,yesnight,average,okay,weak,none,deep soil,self-incompatible,standard
ERIOLANA,19.6875,Eriophyllum lanatum,herbaceous perennial,P,exclusion+,exclusion,exclude none,strong,tube-thin-2.5,10,poor exclusion,fall composites,Comp,open access,bright,bright,erect,nocturnal also,yesnight,average,okay,platform,none,deep soil,self-incompatible,standard
